Time_to_land;Initial_time;ARP_distance;ARP_azimuth;Heading;Altitude;IAS;GS;Barometric_pressure;Wind_direction;Wind_variability;Wind_speed;Visibility;European_airlines;American_airlines;Latam_airlines;Other_airlines;Day_of_the_week;Mix_index;WTC;RWY
682;77517;67494.69297;42.54507464;52.24482734;3505.2;262;456;1017;280;0;4;9000;1;0;0;0;6;100;M;2
1126;69543;67964.79318;208.8141331;158.6555905;5105.4;252;398;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
759;69818;67823.29551;225.4919608;209.3889644;3688.08;262;426;1017;220;0;7;10000;1;0;0;0;6;100;M;25R
795;57613;67852.42336;275.36634;276.4876604;2880.36;278;286;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
745;75697;67615.99123;276.075277;272.3452979;2910.84;252;446;1017;250;0;8;9000;1;0;0;0;6;100;M;25R
843;57617;67895.69836;225.4801558;189.8646886;2766.06;311;408;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
1134;79693;67457.60447;224.7303022;229.9453372;3977.64;271;424;1017;250;0;5;9000;1;0;0;0;6;100;M;2
748;76540;67861.9817;259.7358123;245.9933768;3154.68;253;428;1017;250;0;8;9000;1;0;0;0;6;100;M;25R
957;57617;67516.66822;38.21571841;18.56178861;5074.92;256;424;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
789;57612;67951.57253;225.4202914;190.3679977;3032.76;280;316;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
1001;78454;67717.7068;172.3699496;172.132794;4792.98;267;440;1017;280;0;4;9000;1;0;0;0;6;100;M;2
815;57613;67822.48256;276.0876666;277.1448385;2682.24;330;366;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
838;78969;67876.89597;167.1669031;173.3321982;4747.26;273;430;1017;280;0;4;9000;1;0;0;0;6;100;M;2
625;73832;67965.42703;239.6393546;212.4028574;2979.42;253;430;1017;240;0;9;9000;1;0;0;0;6;100;M;25R
777;57613;67819.16857;259.7875298;205.2688851;3710.94;288;334;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
1198;71191;67174.42041;130.7303909;109.671694;4648.2;254;252;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
798;62999;67935.7831;294.9250286;306.0518435;3672.84;254;284;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
1010;77810;67932.65942;224.8233813;231.469795;5570.22;247;414;1017;280;0;4;9000;1;0;0;0;6;100;M;2
622;57614;67857.44072;241.4730861;228.7812348;3032.76;260;428;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
768;57633;67972.83688;231.2287521;184.7004364;3558.54;273;366;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
684;76948;67924.81279;220.88845;176.0112272;2529.84;269;410;1017;250;0;8;9000;1;0;0;0;6;100;M;25R
652;57613;67990.60278;241.9486473;231.220881;3253.74;247;426;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
988;79711;67884.22402;166.3518832;172.8275098;5577.84;246;398;1017;250;0;5;9000;1;0;0;0;6;100;M;2
747;57614;67768.71472;225.4884611;175.5900688;2956.56;247;330;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
977;78918;67686.04928;215.5780563;214.442388;5219.7;245;344;1017;280;0;4;9000;1;0;0;0;6;100;M;2
734;79074;67656.51816;42.60375746;52.26408683;3413.76;240;446;1017;280;0;4;9000;1;0;0;0;6;100;M;2
1004;57621;67457.08835;10.30805179;237.3976943;4450.08;247;360;1016;210;0;11;10000;1;0;0;0;6;100;M;25R
